               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.019866,           0.0050471,                   0,             0.67951,             0.71361,             0.68306,             0.30786,            0.047621,            0.010965,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.020099,           0.0049918,                   0,             0.64161,             0.71197,             0.64579,             0.30189,            0.047743,            0.010793,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.019937,           0.0049865,                   0,             0.71217,             0.68608,             0.65665,              0.2952,             0.04794,             0.01083,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.019464,           0.0049206,                   0,             0.70564,             0.65943,              0.6209,             0.28589,            0.048129,            0.011365,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.020077,           0.0049402,                   0,              0.6921,             0.69903,             0.63204,             0.29503,            0.047607,            0.011209,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.019588,           0.0049107,                   0,             0.69032,             0.70697,             0.62994,             0.29249,            0.047989,            0.011165,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.019612,            0.004918,                   0,             0.71297,             0.65372,             0.61562,             0.28956,            0.048486,            0.010949,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.019622,           0.0048918,                   0,             0.68695,             0.68884,             0.63967,             0.29321,            0.048103,            0.011183,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.018735,           0.0047728,                   0,             0.69606,             0.68184,             0.65957,             0.30569,            0.047754,            0.010795,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.019143,           0.0047306,                   0,             0.71004,             0.69579,             0.63848,             0.29636,            0.047979,            0.010866,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.019167,           0.0048808,                   0,             0.66544,             0.70227,             0.60716,             0.27434,            0.048769,            0.011595,                   0,            0.004753,            0.004753,            0.004753
                 161,             0.01877,           0.0047589,                   0,             0.71561,             0.65146,             0.63329,             0.27314,            0.048973,             0.01172,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.018917,           0.0048785,                   0,             0.66379,             0.67638,             0.62065,             0.27945,            0.048567,            0.011951,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.018724,           0.0048068,                   0,             0.66729,             0.70227,             0.63399,             0.28452,            0.048573,            0.011904,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.018851,           0.0048413,                   0,             0.68798,             0.68285,             0.61984,             0.29617,            0.047684,            0.012265,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.018958,           0.0048412,                   0,             0.67745,             0.69256,               0.622,             0.28627,            0.048646,            0.011658,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.018378,           0.0048015,                   0,             0.65789,             0.70227,             0.63496,               0.293,            0.048157,            0.011465,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.018272,           0.0047219,                   0,             0.67163,             0.71486,             0.64198,             0.29349,            0.048337,            0.011919,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.018328,           0.0047643,                   0,             0.65005,             0.73463,             0.63816,             0.29428,            0.047764,            0.011717,                   0,            0.004489,            0.004489,            0.004489
