                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.0648,                0.73458,                  1.124,                0.75485,                0.66094,                0.68889,                0.31454,                 2.0269,                 1.1683,                 1.9832,               0.006403,               0.006403,               0.006403
                    111,                   1.08,                0.75018,                 1.1281,                0.73709,                 0.6257,                0.67578,                0.30396,                  2.012,                  1.212,                 1.9071,                0.00637,                0.00637,                0.00637
                    112,                 1.0735,                0.74518,                 1.1265,                0.76292,                0.66524,                 0.6987,                0.31573,                 1.9711,                 1.1868,                 1.8729,               0.006337,               0.006337,               0.006337
                    113,                 1.0743,                0.74971,                 1.1379,                0.76891,                0.67117,                0.71385,                 0.3183,                 1.9897,                 1.1832,                  1.949,               0.006304,               0.006304,               0.006304
                    114,                 1.0675,                0.74038,                 1.1302,                0.76464,                0.66927,                0.69236,                0.32534,                 2.0031,                 1.1404,                 1.8975,               0.006271,               0.006271,               0.006271
                    115,                 1.0744,                0.74771,                 1.1392,                0.70336,                0.71245,                0.70551,                0.32063,                 2.0034,                 1.2155,                 1.9176,               0.006238,               0.006238,               0.006238
                    116,                 1.0221,                0.69706,                 1.1009,                0.74669,                0.69582,                0.69899,                0.31783,                  2.049,                 1.1683,                 1.9971,               0.006205,               0.006205,               0.006205
                    117,                  1.012,                0.70005,                 1.1042,                0.72732,                0.67382,                 0.6758,                0.30057,                  2.091,                  1.166,                 2.0929,               0.006172,               0.006172,               0.006172
                    118,                 1.0387,                0.73072,                 1.1085,                0.72135,                0.67382,                0.70794,                0.32598,                 1.9911,                 1.1764,                 1.9572,               0.006139,               0.006139,               0.006139
                    119,                 1.0106,                0.70045,                 1.1035,                0.73262,                0.69099,                0.68527,                0.32402,                 1.9675,                 1.1611,                 1.9403,               0.006106,               0.006106,               0.006106
                    120,                 1.0184,                0.72122,                 1.1063,                0.75737,                0.68326,                0.70273,                0.31656,                 1.9854,                 1.1419,                 1.9655,               0.006073,               0.006073,               0.006073
                    121,                 1.0259,                0.71595,                 1.1054,                0.80988,                0.69099,                0.71618,                0.32343,                 1.9512,                 1.1342,                 1.8869,                0.00604,                0.00604,                0.00604
                    122,                 1.0058,                0.69193,                 1.0985,                0.76808,                0.68225,                0.70222,                0.32351,                 1.9668,                 1.1288,                 1.9183,               0.006007,               0.006007,               0.006007
                    123,                0.99466,                0.69124,                  1.094,                0.72826,                0.69528,                0.70423,                0.32365,                 2.0225,                 1.1558,                 2.0063,               0.005974,               0.005974,               0.005974
                    124,                0.98716,                 0.6827,                 1.0835,                  0.777,                0.65799,                0.70343,                0.31594,                 2.0558,                 1.1434,                 2.0763,               0.005941,               0.005941,               0.005941
                    125,                0.99124,                 0.6887,                 1.0826,                0.78814,                0.65665,                0.72238,                0.32521,                 2.0654,                 1.1658,                 2.0333,               0.005908,               0.005908,               0.005908
